Restaurant,Item,Calories
salsaritas,Amber Ale,166
salsaritas,Bud Light,103
salsaritas,Budweiser,170
salsaritas,Classic Margarita,360
salsaritas,Frozen Margarita,300
salsaritas,Larger,171
salsaritas,Pale Ale,179
salsaritas,Black Beans,25
salsaritas,Refried Beans,30
salsaritas,Coca Cola,143
salsaritas,Coke Zero,0
salsaritas,Diet Coke,0
salsaritas,Hi-C Fruit Punch,180
salsaritas,Minute Maid Lemonade,165
salsaritas,Minute Maid Light Lemonade,23
salsaritas,Root Beer,160
salsaritas,Sprite,134
salsaritas,Sweet Tea,180
salsaritas,Chocolate Chip Cookie,170
salsaritas,Chocolate Chunk Brownie,320
salsaritas,Poquito,90
salsaritas,Ground Beef,45
salsaritas,Marinated Chicken,40
salsaritas,Pork,25
salsaritas,Shrimp,20
salsaritas,Steak,30
salsaritas,Brown Rice,35
salsaritas,Mexican Rice,40
salsaritas,Black Olives,45
salsaritas,Cilantro,8
salsaritas,Citrus Vinaigrette Dressing,45
salsaritas,Diced Fresh Jalapenos,3
salsaritas,Diced Tomatoes,4
salsaritas,Fajita Veggies,5
salsaritas,Guacamole,50
salsaritas,Hacienda Ranch Dressing,70
salsaritas,Pickled Jalapenos,5
salsaritas,Pineapple Salsa,10
salsaritas,Queso,59
salsaritas,Red Onions,11
salsaritas,Romaine Lettuce,5
salsaritas,Shredded Cheese,20
salsaritas,Shredded Lettuce,4
salsaritas,Sour Cream,60
salsaritas,10&quot; Tortilla for Small Entree,200
salsaritas,10&quot; Wheat Tortilla for Small Entree,200
salsaritas,13&quot; Tortilla for Regular Entree,260
salsaritas,6&quot; Tortilla for Taco,80
salsaritas,Chips,160
salsaritas,Crispy Taco Shell,80
salsaritas,Taco Salad Shell,420
moes,Adobo Chicken for Bowl,148
moes,Bacon Pieces for Bowl,99
moes,Black Beans for Bowl,129
moes,Black Olives for Bowl,37
moes,Chipotle Ranch for Bowl,71
moes,Chopped Cilantro for Bowl,1
moes,Cilantro Lime Rice for Bowl,338
moes,Corn Pico for Bowl,39
moes,Diced Cucumbers for Bowl,4
moes,Diced Onions for Bowl,2
moes,Diced Tomatoes for Bowl,13
moes,Double Adobo Chicken for Bowl,296
moes,Double Fish for Bowl,212
moes,Double Ground Beef for Bowl,248
moes,Double Organic Tofu for Bowl,216
moes,Double Pork Carnitas for Bowl,262
moes,Double Steak for Bowl,208
moes,Double White Meat Chicken for Bowl,260
moes,Fish for Bowl,106
moes,Fresh Jalapenos for Bowl,3
moes,Grilled Mushrooms for Bowl,25
moes,Grilled Onions for Bowl,23
moes,Grilled Peppers for Bowl,17
moes,Ground Beef for Bowl,124
moes,Guacamole for Bowl,53
moes,Lime Wedge for Bowl,3
